"Time [s]";"Pressure [mmHg]";
0.00;0.00;
0.01;0.00;
0.02;0.00;
0.03;0.00;
0.04;0.00;
0.05;0.00;
0.06;0.00;
0.07;0.00;
0.08;0.00;
0.09;0.00;
0.10;0.00;
0.11;0.00;
0.12;0.00;
0.13;0.00;
0.14;0.00;
0.15;0.00;
0.16;0.00;
0.17;0.00;
0.18;0.00;
0.19;0.00;
0.20;0.00;
0.21;0.00;
0.22;0.00;
0.23;0.00;
0.24;0.00;
0.25;0.00;
0.26;0.00;
0.27;0.00;
0.28;0.00;
0.29;0.00;
0.30;0.00;
0.31;0.00;
0.32;0.00;
0.33;0.00;
0.34;0.00;
0.35;0.00;
0.36;0.00;
0.37;0.00;
0.38;0.00;
0.39;0.00;
0.40;0.00;
0.41;0.00;
0.42;0.00;
0.43;0.00;
0.44;0.00;
0.45;0.00;
0.46;0.00;
0.47;0.00;
0.48;0.00;
0.49;0.00;
0.50;0.00;
0.51;0.00;
0.52;0.00;
0.53;0.00;
0.54;0.00;
0.55;0.00;
0.56;0.00;
0.57;0.00;
0.58;0.00;
0.59;0.00;
0.60;0.00;
0.61;0.00;
0.62;0.00;
0.63;0.00;
0.64;0.00;
0.65;0.00;
0.66;0.00;
0.67;0.00;
0.68;0.00;
0.69;0.00;
0.70;0.00;
0.71;0.00;
0.72;0.00;
0.73;0.00;
0.74;0.00;
0.75;0.00;
0.76;0.00;
0.77;0.00;
0.78;0.00;
0.79;0.00;
0.80;0.00;
0.81;0.00;
0.82;0.00;
0.83;0.00;
0.84;0.00;
0.85;0.00;
0.86;0.00;
0.87;0.00;
0.88;0.00;
0.89;0.00;
0.90;0.00;
0.91;0.00;
0.92;0.00;
0.93;0.00;
0.94;0.00;
0.95;0.00;
0.96;0.00;
0.97;0.00;
0.98;0.00;
0.99;0.00;
1.00;0.00;
1.01;0.00;
1.02;0.00;
1.03;0.00;
1.04;0.00;
1.05;0.00;
1.06;0.00;
1.07;0.00;
1.08;0.00;
1.09;0.00;
1.10;0.00;
1.11;0.00;
1.12;0.00;
1.13;0.00;
1.14;0.00;
1.15;0.00;
1.16;0.00;
1.17;0.00;
1.18;0.00;
1.19;0.00;
1.20;0.00;
1.21;0.00;
1.22;0.00;
1.23;0.00;
1.24;0.00;
1.25;0.00;
1.26;0.00;
1.27;0.00;
1.28;0.00;
1.29;0.00;
1.30;0.00;
1.31;0.00;
1.32;0.00;
1.33;0.00;
1.34;0.00;
1.35;0.00;
1.36;0.00;
1.37;0.00;
1.38;0.00;
1.39;0.00;
1.40;0.00;
1.41;0.00;
1.42;0.00;
1.43;0.00;
1.44;0.00;
1.45;0.00;
1.46;0.00;
1.47;0.00;
1.48;0.00;
1.49;0.00;
1.50;0.00;
1.51;0.00;
1.52;0.00;
1.53;0.00;
1.54;0.00;
1.55;0.00;
1.56;0.00;
1.57;0.00;
1.58;0.00;
1.59;0.00;
1.60;0.00;
1.61;0.00;
1.62;0.00;
1.63;0.00;
1.64;0.00;
1.65;0.00;
1.66;0.00;
1.67;0.00;
1.68;0.00;
1.69;0.00;
1.70;0.00;
1.71;0.00;
1.72;0.00;
1.73;0.00;
1.74;0.00;
1.75;0.00;
1.76;0.00;
1.77;0.00;
1.78;0.00;
1.79;0.00;
1.80;0.00;
1.81;0.00;
1.82;0.00;
1.83;0.00;
1.84;0.00;
1.85;0.00;
1.86;0.00;
1.87;0.00;
1.88;0.00;
1.89;0.00;
1.90;0.00;
1.91;0.00;
1.92;0.00;
1.93;0.00;
1.94;0.00;
1.95;0.00;
1.96;0.00;
1.97;0.00;
1.98;0.00;
1.99;0.00;
2.00;0.00;
2.01;0.00;
2.02;0.00;
2.03;0.00;
2.04;0.00;
2.05;0.00;
2.06;0.00;
2.07;0.00;
2.08;0.00;
2.09;0.00;
2.10;0.00;
2.11;0.00;
2.12;0.00;
2.13;0.00;
2.14;0.00;
2.15;0.00;
2.16;0.00;
2.17;0.00;
2.18;0.00;
2.19;0.00;
2.20;0.00;
2.21;0.00;
2.22;0.00;
2.23;0.00;
2.24;0.00;
2.25;0.00;
2.26;0.00;
2.27;0.00;
2.28;0.00;
2.29;0.00;
2.30;0.00;
2.31;0.00;
2.32;0.00;
2.33;0.00;
2.34;0.00;
2.35;0.00;
2.36;0.00;
2.37;0.00;
2.38;0.00;
2.39;0.00;
2.40;0.00;
2.41;0.00;
2.42;0.00;
2.43;0.00;
2.44;0.00;
2.45;0.00;
2.46;0.00;
2.47;0.00;
2.48;0.00;
2.49;0.00;
2.50;0.00;
2.51;0.00;
2.52;0.00;
2.53;0.00;
2.54;0.00;
2.55;0.00;
2.56;0.00;
2.57;0.00;
2.58;0.00;
2.59;0.00;
2.60;0.00;
2.61;0.00;
2.62;0.00;
2.63;0.00;
2.64;0.00;
2.65;0.00;
2.66;0.00;
2.67;0.00;
2.68;0.00;
2.69;0.00;
2.70;0.00;
2.71;0.00;
2.72;0.00;
2.73;0.00;
2.74;0.00;
2.75;9.00;
2.76;46.70;
2.77;75.73;
2.78;101.67;
2.79;123.80;
2.80;143.91;
2.81;159.62;
2.82;170.64;
2.83;177.55;
2.84;180.77;
2.85;182.25;
2.86;182.64;
2.87;182.77;
2.88;182.86;
2.89;182.94;
2.90;183.02;
2.91;183.20;
2.92;183.39;
2.93;183.36;
2.94;183.33;
2.95;183.12;
2.96;183.12;
2.97;183.20;
2.98;183.36;
2.99;183.30;
3.00;183.19;
3.01;183.16;
3.02;183.25;
3.03;183.19;
3.04;183.19;
3.05;183.17;
3.06;183.17;
3.07;183.05;
3.08;182.92;
3.09;182.89;
3.10;182.84;
3.11;182.73;
3.12;182.80;
3.13;182.66;
3.14;182.61;
3.15;182.56;
3.16;182.62;
3.17;182.38;
3.18;182.44;
3.19;182.34;
3.20;182.38;
3.21;182.14;
3.22;182.20;
3.23;182.05;
3.24;182.11;
3.25;182.03;
3.26;182.02;
3.27;182.03;
3.28;181.92;
3.29;181.97;
3.30;181.98;
3.31;181.84;
3.32;181.91;
3.33;181.95;
3.34;181.78;
3.35;181.70;
3.36;181.70;
3.37;181.59;
3.38;181.56;
3.39;181.58;
3.40;181.42;
3.41;181.56;
3.42;181.44;
3.43;181.47;
3.44;181.42;
3.45;181.31;
3.46;181.28;
3.47;181.34;
3.48;181.20;
3.49;181.19;
3.50;181.06;
3.51;181.08;
3.52;181.14;
3.53;181.09;
3.54;181.11;
3.55;181.14;
3.56;180.97;
3.57;180.95;
3.58;180.98;
3.59;180.94;
3.60;180.97;
3.61;180.97;
3.62;181.09;
3.63;181.12;
3.64;181.19;
3.65;181.05;
3.66;181.00;
3.67;180.77;
3.68;180.83;
3.69;180.66;
3.70;180.72;
3.71;180.66;
3.72;180.61;
3.73;180.61;
3.74;180.53;
3.75;180.48;
3.76;180.45;
3.77;180.47;
3.78;180.53;
3.79;180.50;
3.80;180.44;
3.81;180.36;
3.82;180.25;
3.83;180.25;
3.84;180.20;
3.85;180.16;
3.86;180.23;
3.87;180.16;
3.88;180.30;
3.89;180.25;
3.90;180.25;
3.91;180.11;
3.92;180.12;
3.93;180.08;
3.94;179.98;
3.95;179.89;
3.96;179.89;
3.97;180.06;
3.98;179.95;
3.99;179.98;
4.00;179.77;
